feature,severity,rule,definition
Building,Violation,StringMustNotBeZeroLength,Validates that an emtpy string is not present.
Building,Warning,AltNameLangTagHasNoCorrespondingNameLangTag,Validates that a language tag associated with an alt_name has a corresponding presence and association with a name value.
Building,Warning,AmenityNameShouldNotBeDuplicateInBuilding,Validates that name values among Amenities of a particular category are distinct in the same Building.
Building,Warning,BuildingAltNameShouldBeDistinct,Validates that Building alt names are distinct.
Building,Warning,BuildingFootprintGeometryMustContainDisplayPoint,Validates that the display_point is within at least one (1) Footprint that references the Building.
Building,Warning,BuildingHasNoAddress,Validates that a Building references an Address.
Building,Warning,BuildingHasNoAerialFootprint,Validates that a Building references an aerial Footprint.
Building,Warning,BuildingHasNoDisplayPoint,Validates that a Building has a display_point.
Building,Warning,BuildingHasNoGroundFootprint,Validates that a Building references a ground Footprint.
Building,Warning,BuildingHasNoName,Validates that a Building has a name value.
Building,Warning,BuildingHasNoSubterraneanFootprint,Validates that a Building references a 'subterranean' Footprint when the Building is also referenced by a Level that possesses a negative ordinal.
Building,Warning,BuildingLevelOrdinalZeroShouldBePresent,Validates that a Building is referenced by a Level whose ordinal 0.
Building,Warning,BuildingNameMatchesOccupantName,Validates that a Building name does not match an Occupant name it 'contains'.
Building,Warning,BuildingNameShouldBeDistinct,Validates that Building names are distinct.
Building,Warning,BuildingReferencesUnitQualifiedAddress,Validates that the Building's referenced Address is not a unit-qualified address.
Building,Warning,BuildingsHaveSameAddress,Validates that Buildings do not reference the same Address.
Building,Warning,HasOnlyAltName,"Validates that an alt_name value is not exclusive, that it is accompanied by a name value."
Building,Warning,LevelNamesInBuildingShouldBeDistinct,Validates that Levels referencing the same Building possess dissimilar name values.
Building,Warning,LevelOrdinalsForBuildingAreNotSequential,Validates that ordinal values among Levels referencing the same Building are sequential.
Building,Warning,LevelShortNamesInBuildingShouldBeDistinct,Validates that Levels referencing the same Building possess dissimilar short_name values.
Building,Warning,NonMatchingNameLangTagsAmongLevelsReferencingSameBuilding,Validates that a Level name language tag set is matched by another Level's name language tag set among Levels that reference the same Building.
Building,Warning,NonMatchingShortNameLangTagsAmongLevelsReferencingSameBuilding,Validates that a Level short_name language tag set is matched by another Level's short_name language tag set among Levels that reference the same Building.
Building,Warning,ParkingBuildingReferencingNonParkingLevel,Validates that a 'parking' Building is only referenced by a Level possessing the same category.
Building,Warning,SuspiciousBuildingCategorization,"Validates that when all Level features that reference a Building possess a particular category, the Building has the expected category."
Detail,Info,DetailMustNotIntersectOpening,Validates that a Detail does not intersect an Opening feature.
Detail,Info,DetailMustNotOverlapDetail,Validates that a Detail does not overlap another Detail.
Detail,Violation,DetailMustBeWithinReferencedLevel,Validates that a Detail feature is within the referenced Level.
Detail,Violation,DetailMustHaveLinealGeometry,Validates that a Detail feature is a LineString or MultiLineString geometry.
Detail,Violation,FeatureIdMustBeUnique,Validates that a feature has a unique ID.
Detail,Violation,InvalidFeatureID,Validates that a feature ID is a valid v4 UUID value.
Detail,Violation,InvalidLevelReference,Validates the integrity of a Level reference.
Fixture,Info,FixtureHasNoDisplayPoint,Validates that a Fixture has a `display_point`.
Fixture,Violation,FeatureIdMustBeUnique,Validates that a feature has a unique ID.
Fixture,Violation,FixtureCategoryMustBeValid,Validates the category assigned to a Fixture.
Fixture,Violation,FixtureMustBeWithinReferencedLevel,Validates that a Fixture is within the referenced Level.
Fixture,Violation,FixtureMustHaveCategory,Validates that a Fixture has a category value.
Fixture,Violation,FixtureMustHavePolygonalGeometry,Validates that a Fixture feature has Polygon or MultiPolygon geometry.
Fixture,Violation,FixtureMustNotEqualFixture,Validates that Fixtures are not equal on the same Level.
Fixture,Violation,FixtureMustNotEqualUnit,Validates that a Fixture is not equal to a Unit on the same Level.
Fixture,Violation,FixtureMustReferenceLevel,Validates that a Fixture references a Level.
Fixture,Violation,FixturesMustNotOverlap,Validates that Fixture interiors do not intersect.
Fixture,Violation,InvalidAnchorReference,Validates the integrity of an Anchor reference.
Fixture,Violation,InvalidFeatureID,Validates that a feature ID is a valid v4 UUID value.
Fixture,Violation,InvalidLanguageTag,Validates that a language tag is a valid value.
Fixture,Violation,NameMustBeString,Validates that a name is a string data type.
Fixture,Violation,StringMustNotBeZeroLength,Validates that an emtpy string is not present.
Fixture,Warning,AltNameLangTagHasNoCorrespondingNameLangTag,Validates that a language tag associated with an alt_name has a corresponding presence and association with a name value.
Fixture,Warning,BaggageCarouselFixtureShouldHaveDisplayPointAndName,Validates that a 'baggagecarousel' Fixture has both a display_point and name value when the Fixture does not contain a 'baggagecarousel' Amenity.
Fixture,Warning,BaggageCarouselFixtureShouldHaveName,"Validates that a 'baggagecarousel' Fixture has a name value when it has a display_point, and the Fixture does not contain a 'baggagecarousel' Amenity."
Fixture,Warning,FixtureCategoryShouldNotContainAnchor,Validates that an Anchor is not unexpectedly contained by a Fixture category.
Fixture,Warning,FixtureGeometryMustContainDisplayPoint,Validates that the display_point is within the Fixture.
Fixture,Warning,FixtureHasInteriorRing,Validates that a Fixture does not possess an interior ring.
Fixture,Warning,FixtureMustBeWithinUnit,Validates that a Fixture is within a Unit.
Fixture,Warning,FixtureMustContainReferencedAnchor,Validates that a Fixture contains the referenced Anchor.
Fixture,Warning,FixtureMustNotOverlapKiosk,Validates that Fixture and Kiosk interiors do not intersect.
Fixture,Warning,HasOnlyAltName,"Validates that an alt_name value is not exclusive, that it is accompanied by a name value."
Fixture,Warning,UnitCategoryMustNotContainFixture,Validates that a Fixture is not contained by a Unit category that models physical/structural elements.
Fixture,Warning,UnitCategoryShouldNotContainFixture,Validates that a Fixture is not unexpectedly contained by a Unit category.
Footprint,Violation,FeatureIdMustBeUnique,Validates that a feature has a unique ID.
Footprint,Violation,FootprintCategoryMustBeValid,Validates the category assigned to a Footprint.
Footprint,Violation,FootprintMustHavePolygonalGeometry,Validates that a Footprint has a Polygon or MultiPolygon geometry.
Footprint,Violation,FootprintMustReferenceBuilding,Validates that a Footprint references a Building.
Footprint,Violation,InvalidBuildingReference,Validates the integrity of a Building reference.
Footprint,Violation,InvalidFeatureID,Validates that a feature ID is a valid v4 UUID value.
Footprint,Violation,NameMustBeString,Validates that a name is a string data type.
Footprint,Violation,StringMustNotBeZeroLength,Validates that an emtpy string is not present.
Footprint,Warning,AerialFootprintShouldCoverGroundFootprint,Validates that an 'aerial' Footprint contains a 'ground' Footprint.
Footprint,Warning,AerialFootprintsMustNotOverlap,Validates that 'aerial' Footprints do not overlap.
Footprint,Warning,FootprintHasInteriorRing,Validates that a Footprint does not possess an interior ring.
Footprint,Warning,GroundFootprintShouldIntersectSubterraneanFootprint,"Validates that a 'subterranean' Footprint intersects a 'ground' Footprint. Intersection may either be features that touch, or the interior geometry of one feature intersecting the interior geometry of another."
Footprint,Warning,GroundFootprintsMustNotOverlap,Validates that 'ground' Footprints do not overlap.
Footprint,Warning,IndoorLevelNotEqualToAerialFootprint,"Validates that the union of all Indoor Levels whose ordinal is '0' and greater, is equal to the 'aerial' Footprint referencing the same Building."
Footprint,Warning,IndoorLevelNotEqualToGroundFootprint,Validates that the union of all Indoor Levels whose ordinal is '0' is equal to the 'ground' Footprint referencing the same Building.
Footprint,Warning,IndoorLevelNotEqualToSubterraneanFootprint,"Validates that the union of all Indoor Levels, ordinal '-1' and less, is equal to the 'subterranean' Footprint referencing the same Building."
Geofence,Info,ConcourseGeofenceHasInteriorRing,Validates that a 'concourse' Geofence does not possess an interior ring.
Geofence,Info,ConcourseGeofenceMustHaveDisplayPoint,Validates that a 'concourse' Geofence has a `display_point`.
Geofence,Info,ConcourseGeofencesOverlapOnSameLevel,Validates that the interior geometry of a 'concourse' Geofence does not intersect the interior geometry of another on the same Level.
Geofence,Info,GeofenceHasNoBuildingReference,Validates that a Geofence references a Building.
Geofence,Info,GeofenceHasNoDisplayPoint,Validates that a Geofence has a `display_point`.
Geofence,Info,GeofenceHasNoLevelReference,Validates that a Geofence references a Level.
Geofence,Info,GeofenceHasParentReference,Validates that a Geofence has a parent reference.
Geofence,Info,GeofenceNotWithinReferencedBuildingFootprint,Validates that a Geofence is within the referenced Building's union of footprints.
Geofence,Info,TerminalGeofenceHasInteriorRing,Validates that a 'terminal' Geofence does not possess an interior ring.
Geofence,Info,TerminalGeofenceMustHaveDisplayPoint,Validates that a 'terminal' Geofence has a `display_point`.
Geofence,Info,TerminalGeofencesOverlapOnSameLevel,Validates that the interior geometry of a 'terminal' Geofence does not intersect the interior geometry of another on the same Level.
Geofence,Info,TerminalShouldNotOverlapConcourseGeofenceOnSameLevel,Validates that the interior geometry of a 'terminal' Geofence does not intersect the interior geometry of a 'concourse' Geofence on the same Level.
Geofence,Violation,FeatureIdMustBeUnique,Validates that a feature has a unique ID.
Geofence,Violation,GeofenceCategoryMustBeValid,Validates that a Geofence has a category value.
Geofence,Violation,GeofenceMustHaveCategory,Validates that a Geofence has a category value.
Geofence,Violation,GeofenceMustHaveLevelOrBuildingReference,Validates that a Geofence references at least one Level or Building.
Geofence,Violation,GeofenceMustHavePolygonalGeometry,Validates that a Geofence has Polygon or MultiPolygon geometry.
Geofence,Violation,InvalidBuildingReference,Validates the integrity of a Building reference.
Geofence,Violation,InvalidCorrelationID,Validates that a correlation ID is a valid v4 UUID value.
Geofence,Violation,InvalidFeatureID,Validates that a feature ID is a valid v4 UUID value.
Geofence,Violation,InvalidLanguageTag,Validates that a language tag is a valid value.
Geofence,Violation,InvalidParentsReference,Validates the integrity of a Parent reference.
Geofence,Violation,LevelIDsMustBeDissimilarForCorrelationID,"Validates that features from the same feature-type, whose correlation ID match, possess dissimilar level id values."
Geofence,Violation,NameMustBeString,Validates that a name is a string data type.
Geofence,Violation,RestrictionCategoryMustBeValid,Validates that a restriction category is valid.
Geofence,Violation,StringMustNotBeZeroLength,Validates that an emtpy string is not present.
Geofence,Warning,AltNameLangTagHasNoCorrespondingNameLangTag,Validates that a language tag associated with an alt_name has a corresponding presence and association with a name value.
Geofence,Warning,CategoryShouldBeSameForCorrelationID,Validates that features with matching correlation ID possess the same category.
Geofence,Warning,GeofenceGeometryMustContainDisplayPoint,Validates that the display_point is within the Geofence.
Geofence,Warning,GeofenceHasInteriorRing,Validates that a Geofence does not possess an interior ring.
Geofence,Warning,GeofenceNotWithinReferencedLevel,Validates that a Geofence is within the referenced Level.
Geofence,Warning,HasOnlyAltName,"Validates that an alt_name value is not exclusive, that it is accompanied by a name value."
Kiosk,Info,KioskHasNoDisplayPoint,Validates that a Kiosk has a display_point.
Kiosk,Violation,FeatureIdMustBeUnique,Validates that a feature has a unique ID.
Kiosk,Violation,InvalidAnchorReference,Validates the integrity of an Anchor reference.
Kiosk,Violation,InvalidFeatureID,Validates that a feature ID is a valid v4 UUID value.
Kiosk,Violation,InvalidLanguageTag,Validates that a language tag is a valid value.
Kiosk,Violation,KioskMustBeWithinReferencedLevel,Validates that a Kiosk is within the referenced Level.
Kiosk,Violation,KioskMustHavePolygonalGeometry,Validates that a Kiosk has a Polygon or MultiPolygon geometry.
Kiosk,Violation,KioskMustNotContainAmenityCategory,Validates that an Amenity is not contained by a Kiosk.
Kiosk,Violation,KioskMustNotEqualUnit,Validates that a Kiosk does not equal a Unit.
Kiosk,Violation,KioskMustReferenceLevel,Validates that a Kiosk feature references a Level.
Kiosk,Violation,KiosksMustNotOverlap,Validates that Kiosk interiors do not intersect.
Kiosk,Violation,NameMustBeString,Validates that a name is a string data type.
Kiosk,Violation,StringMustNotBeZeroLength,Validates that an emtpy string is not present.
Kiosk,Warning,AltNameLangTagHasNoCorrespondingNameLangTag,Validates that a language tag associated with an alt_name has a corresponding presence and association with a name value.
Kiosk,Warning,HasOnlyAltName,"Validates that an alt_name value is not exclusive, that it is accompanied by a name value."
Kiosk,Warning,KioskGeometryMustContainDisplayPoint,Validates that the display_point is within the Kiosk.
Kiosk,Warning,KioskHasInteriorRing,Validates that a Kiosk does not possess an interior ring.
Kiosk,Warning,KioskHasNoAnchor,Validates that a Kiosk references an Anchor.
Kiosk,Warning,KioskMustBeWithinUnit,Validates that a Kiosk is within a Unit.
Kiosk,Warning,KioskMustContainReferencedAnchor,Validates that a Kiosk contains the referenced Anchor.
Kiosk,Warning,KioskShouldNotContainAmenityCategory,Validates that an Amenity is not unexpectedly contained by a Kiosk.
Kiosk,Warning,UnitCategoryMustNotContainKiosk,Validates that a Kiosk is not contained by a Unit category that models physical/structural elements.
Kiosk,Warning,UnitCategoryShouldNotContainKiosk,Validates that a Kiosk is not unexpectedly contained by a Unit category.
Level,Info,LevelHasNoDisplayPoint,Validates that a Level has a display_point.
Level,Info,LevelHasSuspiciousOrdinal,Validates that a Level ordinal value is within the typical range.
Level,Info,OutdoorLevelHasBuildingReference,Validates that outdoor Levels on ordinal 0 do not reference a Building
Level,Violation,FeatureIdMustBeUnique,Validates that a feature has a unique ID.
Level,Violation,InvalidAddressReference,Validates the integrity of an Address reference.
Level,Violation,InvalidBuildingReference,Validates the integrity of a Building reference.
Level,Violation,InvalidFeatureID,Validates that a feature ID is a valid v4 UUID value.
Level,Violation,InvalidLanguageTag,Validates that a language tag is a valid value.
Level,Violation,LevelCategoryMustBeValid,Validates the category assigned to a Level.
Level,Violation,LevelMustBeReferencedByUnit,Validates that a Level is referenced by at least one Unit.
Level,Violation,LevelMustHaveCategory,Validates that a Level has a category value.
Level,Violation,LevelMustHaveName,Validates that a Level has a name value.
Level,Violation,LevelMustHaveOrdinal,Validates that a Level feature has an ordinal value.
Level,Violation,LevelMustHavePolygonalGeometry,Validates that a Level has a Polygon or MultiPolygon geometry.
Level,Violation,LevelMustHaveShortName,Validates that a Level has a short_name value.
Level,Violation,LevelOrdinalMustBeInteger,Validates that a Level ordinal is an integer value.
Level,Violation,NameMustBeString,Validates that a name is a string data type.
Level,Violation,RestrictionCategoryMustBeValid,Validates that a restriction category is valid.
Level,Violation,StringMustNotBeZeroLength,Validates that an emtpy string is not present.
Level,Warning,IndoorLevelMustHaveBuildingReference,Validates that an indoor Level references a Building.
Level,Warning,LevelAndAerialFootprintShouldReferenceSameBuilding,Validates that a Level whose interior geometry intersects the interior geometry of an 'aerial' Footprint both reference the same Building.
Level,Warning,LevelAndGroundFootprintShouldReferenceSameBuilding,Validates that a Level whose interior geometry intersects the interior geometry of a 'ground' Footprint both reference the same Building.
Level,Warning,LevelAndSubterraneanFootprintShouldReferenceSameBuilding,Validates that a Level whose interior geometry intersects the interior geometry of a 'subterranean' Footprint both reference the same Building.
Level,Warning,LevelGeometryMustContainDisplayPoint,Validates that the display_point is within the Level.
Level,Warning,LevelHasInteriorRing,Validates that a Level does not possess an interior ring.
Level,Warning,LevelMustBeFullyCoveredByUnits,Validates that the union of all Units is equal to the Level they reference.
Level,Warning,LevelShouldBeReferencedByOpening,Validates that a Level is referenced by at least one Opening.
Level,Warning,LevelsShouldNotOverlap,Validates that Level interiors do not intersect.
Level,Warning,OutdoorLevelHasNegativeOrdinal,Validates that an outdoor Level does not have a negative ordinal.
Level,Warning,OutdoorLevelShouldNotOverlapGroundFootprint,Validates that an outdoor Level whose ordinal is '0' does not overlap any Building's 'ground' Footprint.
Level,Warning,OutdoorLevelShouldReferenceBuilding,"Validates that an outdoor Level, on an ordinal other than 0, references a Building."
Level,Warning,ParkingLevelShouldContainParkingUnit,Validates that a 'parking' Level contains a 'parking' Unit.
Level,Warning,ParkingLevelShouldHaveAutomobileOpening,Validates that a 'parking' Level is referenced by an expected Opening category on the expected ordinal.
Occupant,Info,OccupantHasValidityEndTime,Validates that an Occupant has a validity end time.
Occupant,Info,OccupantHasValidityStartTime,Validates that an Occupant has a validity start time.
Occupant,Info,OccupantShouldHaveModifiedTime,Validates that an Occupant has a modified time.
Occupant,Violation,EndDateTimeIsBeforeCurrentDateTime,Validates that an end DATE-TIME is after the current (system) date-time.
Occupant,Violation,FeatureIdMustBeUnique,Validates that a feature has a unique ID.
Occupant,Violation,InvalidAnchorReference,Validates the integrity of an Anchor reference.
Occupant,Violation,InvalidCorrelationID,Validates that a correlation ID is a valid v4 UUID value.
Occupant,Violation,InvalidFeatureID,Validates that a feature ID is a valid v4 UUID value.
Occupant,Violation,InvalidLanguageTag,Validates that a language tag is a valid value.
Occupant,Violation,LevelIDsMustBeDissimilarForCorrelationID,"Validates that features from the same feature-type, whose correlation ID match, possess dissimilar level id values."
Occupant,Violation,ModifiedDateTimeIsAfterCurrentDateTime,Validates that a modified DATE-TIME is before the current (system) date-time.
Occupant,Violation,NameMustBeString,Validates that a name is a string data type.
Occupant,Violation,OccupantCategoryMustBeValid,Validates the category assigned to an Occupant.
Occupant,Violation,OccupantMustHaveCategory,Validates that an Occupant has a category value.
Occupant,Violation,OccupantMustHaveName,Validates that an Occupant has a name value.
Occupant,Violation,OccupantMustReferenceAnchor,Validates that an Occupant references an Anchor.
Occupant,Violation,StartDateTimeIsAfterEndDateTime,Validates that a start DATE-TIME` is before the end DATE-TIME.
Occupant,Violation,StringMustNotBeZeroLength,Validates that an emtpy string is not present.
Occupant,Warning,CategoryShouldBeSameForCorrelationID,Validates that features with matching correlation ID possess the same category.
Occupant,Warning,OccupantShouldHaveHours,Validates that an Occupant has hours.
Occupant,Warning,OccupantShouldHavePhone,Validates that an Occupant has a phone value.
Occupant,Warning,OccupantShouldHaveWebsite,Validates that an Occupant has a website value.
Occupant,Warning,PhoneMatchesUnexpectedCountryCode,Validates that a phone prefix does not match a country calling code that is unexpected for the country in which the Venue is located.
Occupant,Warning,PhoneMustBeValid,Validates that the phone is E.164 compliant.
Occupant,Warning,WebsiteMustBeValid,Validates that a web site URL is correct.
Opening,Info,OpeningHasNoDisplayPoint,Validates that an Opening has a display_point.
Opening,Violation,AccessControlMustBeValid,Validates the access control category assigned to the Opening.
Opening,Violation,AccessibilityMustBeValid,Validates the accessibility category assigned to the feature.
Opening,Violation,FeatureIdMustBeUnique,Validates that a feature has a unique ID.
Opening,Violation,InvalidFeatureID,Validates that a feature ID is a valid v4 UUID value.
Opening,Violation,InvalidLanguageTag,Validates that a language tag is a valid value.
Opening,Violation,NameMustBeString,Validates that a name is a string data type.
Opening,Violation,OpeningCategoryMustBeValid,Validates the category assigned to an Opening.
Opening,Violation,OpeningDoorMaterialMustBeValid,Validates that the Opening's door material is valid.
Opening,Violation,OpeningDoorTypeMustBeValid,Validates that the Opening door type is valid.
Opening,Violation,OpeningMustBeWithinReferencedLevel,Validates that an Opening is within the referenced Level.
Opening,Violation,OpeningMustHaveCategory,Validates that an Opening has a category value.
Opening,Violation,OpeningMustHaveLineStringGeometry,Validates that an Opening has a LineString geometry.
Opening,Violation,OpeningMustReferenceLevel,Validates that an Opening references a Level.
Opening,Violation,OpeningsMustNotCrossOrOverlap,Validates that an Opening does not cross or overlap another Opening.
Opening,Violation,StringMustNotBeZeroLength,Validates that an emtpy string is not present.
Opening,Warning,AltNameLangTagHasNoCorrespondingNameLangTag,Validates that a language tag associated with an alt_name has a corresponding presence and association with a name value.
Opening,Warning,HasOnlyAltName,"Validates that an alt_name value is not exclusive, that it is accompanied by a name value."
Opening,Warning,OpeningDisplayPointShouldBeWithinBufferedDistanceOfOpening,Validates that an Opening display_point is within a buffered distance of the line-string.
Opening,Warning,OpeningMaximumSizeExceeded,Validates that the Opening length does not exceed 45 meters.
Opening,Warning,OpeningMinimumSizeNotMet,Validate that an Opening exceeds a minimum length.
Opening,Warning,OpeningMustBeCoveredByUnitBoundary,Validates that an Opening is covered by a Unit's boundary.
Opening,Warning,OpeningShouldBeCoveredByExpectedUnitCategory,"Validates that an Opening, of a particular category, is covered by a Unit of an expected category."
Opening,Warning,UnexpectedOpeningCoveredByDissolvedLevelBoundary,Validates that only an expected Opening category covers the dissolved Level.
Relationship,Info,RelationshipHasGeometry,Validates that a Relationship has geometry.
Relationship,Violation,FeatureIdMustBeUnique,Validates that a feature has a unique ID.
Relationship,Violation,InvalidFeatureID,Validates that a feature ID is a valid v4 UUID value.
Relationship,Violation,InvalidRelationshipDestinationReference,Validates the integrity of a feature reference.
Relationship,Violation,InvalidRelationshipIntermediaryReference,Validates the integrity of a feature reference.
Relationship,Violation,InvalidRelationshipOriginReference,Validates the integrity of a feature reference.
Relationship,Violation,RelationshipCategoryMustBeValid,Validates the category assigned to a Relationship.
Relationship,Violation,RelationshipDirectionMustBeValid,Validates the direction assigned to a Relationship.
Relationship,Violation,RelationshipMustHaveCategory,Validates that a Relationship has a category value.
Section,Info,BaggageClaimSectionHasInteriorRing,Validates that a 'baggageclaim' Section does not possess an interior ring.
Section,Info,BaggageClaimSectionShouldHaveDisplayPoint,Validates that a 'baggageclaim' Section has a display_point.
Section,Info,CheckinSectionShouldHaveDisplayPoint,Validates that a 'checkin' Section has a display_point.
Section,Info,GamblingSectionHasInteriorRing,Validates that a 'gambling' Section does not possess an interior ring.
Section,Info,GateAreaSectionShouldHaveDisplayPoint,Validates that a 'gatearea' Section has a display_point.
Section,Info,ImmigrationSectionShouldHaveDisplayPoint,Validates that an 'immigration' Section has a display_point.
Section,Info,SectionHasNoDisplayPoint,Validates that a Section has a `display_point`.
Section,Info,SectionHasParentReference,Validates that a Section has a parent reference.
Section,Info,SecuritySectionShouldHaveDisplayPoint,Validates that a 'security' Section has a display_point.
Section,Info,SecuritySectionShouldTouchPostSecuritySection,Validates that a 'security' Section touches a 'postsecurity' Section on the same Level.
Section,Info,SecuritySectionShouldTouchPreSecuritySection,Validates that a 'security' Section touches a 'presecurity' Section on the same Level.
Section,Violation,AccessibilityMustBeValid,Validates the accessibility category assigned to the feature.
Section,Violation,FeatureIdMustBeUnique,Validates that a feature has a unique ID.
Section,Violation,InvalidAddressReference,Validates the integrity of an Address reference.
