collection,venueType,feature,category,definition
amenity,,amenity,bus,Models the presence and approximate point location of one or more bus stop.
amenity,,amenity,bus.muni,Models the presence and approximate point location of one or more bus stop that is serviced by a local transit authority.
amenity,,amenity,bus.national,Models the presence and approximate point location of one or more bus stop that is serviced by a national transit authority.
amenity,,amenity,businesscenter,Models the presence and approximate point location of a space that provides office facilities and services to the public.
amenity,,amenity,cabin,
amenity,,amenity,caregiver,"Models the presence and approximate point location of a service that provides caregiving services, especially to persons that experience disabilities."
amenity,,amenity,carrental,A business that rents and leases motor vehicles. Businesses that rent trucks for moving and related purposes should be categorized under truck rentalservices.
amenity,,amenity,carrental,Models the presence and approximate point location or thematic extent of an open or semi-enclosed environment of a space containing one or more car rental operation.
amenity,,amenity,cashier,Models the presence and approximate point location of a cashier operation.
amenity,,amenity,changemachine,Models the presence and approximate point location of a service that accepts large denominations of currency and returns an equal amount in smaller denominations.
amenity,,amenity,checkin,Models the presence and approximate thematic extent of an open or semi-enclosed environment containing a collection of check-in operations.
amenity,,amenity,checkin.desk,Models the presence and approximate point location or physical extent of furniture that supports one or more check-in desk operations.
amenity,,amenity,checkin.desk.oversizebaggage,"Models the presence and approximate point location of a check-in area, desk, or service where special or oversized baggage may be checked in."
amenity,,amenity,checkin.desk.transfer,Models the presence and approximate point location of a manned transfer desk operation whose purpose is to facilitate a traveler's transfer to another outbound connection.
amenity,,amenity,checkin.selfservice,Models the presence and approximate point location of furniture/equipment that supports full or semi-automated check-in operations.
amenity,,amenity,childplayarea,Models the presence and approximate point location of a child's play area.
amenity,,amenity,coinlocker,
amenity,,amenity,copymachine,Models the presence and approximate point location of a copy machine service.
amenity,,amenity,defibrillator,Models the presence and approximate point location of an Automated External Defibrillator (AED). 
amenity,,amenity,drinkingfountain,Models the presence and approximate point location of drinking water.
amenity,,amenity,eatingdrinking,"Models the presence and approximate thematic extent of an open or semi-enclosed environment that is used as a ""common"" area for dining."
amenity,,amenity,elevator,Models the presence and approximate point location of one or more elevator that offers vertical traversal capabilities.
amenity,,amenity,emergencyshelter,"Models the presence and approximate point location of a room designed to provide shelter. e.g., protection from severe weather conditions."
amenity,,amenity,entry,Models the presence and approximate point location of an entrance to a physical building.
amenity,,amenity,escalator,Models the presence and physical extent of a single escalator that offers vertical traversal capabilities.
amenity,,amenity,exhibit,"Models the presence and approximate point location of ""...an object, work of art, activity, artifact or poster designed to demonstrate a concept or show an example."", or the approximate thematic extent of an open or semi-enclosed environment containing an exhibit."
amenity,,amenity,faregate,Models the presence and approximate point location of equipment that supports a fully automated or manned fare gate operation.
amenity,,amenity,faregate.oversized,"Models the presence and approximate point location of a fare gate operation that is specifically designed for a pedestrian that requires an entrance whose width is greater than the ""standard"" fare gate."
amenity,,amenity,fieldofplay,Intramural sports or recreational fields usually found on college/university campus.
amenity,,amenity,fieldofplay,Models the presence and approximate point location of a sports field.
amenity,,amenity,fieldofplay,Models the presence and physical extent of an area used to play sports.
amenity,,amenity,fieldofplay.americanfootball,Models the presence and approximate point location of an American football pitch.
amenity,,amenity,fieldofplay.baseball,Models the presence and approximate point location of a baseball field.
amenity,,amenity,fieldofplay.basketball,Models the presence and approximate point location of a basketball court.
amenity,,amenity,fieldofplay.fieldhockey,Models the presence and approximate point location of a field hockey pitch.
amenity,,amenity,fieldofplay.icehockey,Models the presence and approximate point location of an ice hockey rink.
amenity,,amenity,fieldofplay.rugby,Models the presence and approximate point location of a rugby pitch.
amenity,,amenity,fieldofplay.soccer,Models the presence and approximate point location of a soccer pitch.
amenity,,amenity,fieldofplay.softball,Models the presence and approximate point location of a softball field.
amenity,,amenity,fieldofplay.tennis,Models the presence and approximate point location of a tennis court.
amenity,,amenity,fieldofplay.trackfield,Models the presence and approximate point location of a track and field arena.
amenity,,amenity,fieldofplay.volleyball,Models the presence and approximate point location of a volleyball court.
amenity,,amenity,firealarmpullstation,"Models the presence and approximate point location of a fire protection device which, when activated, initiates an alarm on a fire alarm system."
amenity,,amenity,fireextinguisher,Models the presence and approximate point location of a fire protection device.
amenity,,amenity,firstaid,"Models the presence and approximate point location of: A medical support operation or First Aid, or the physical extent of a space containing a medical support operation.."
amenity,,amenity,fittingroom,Models the presence and approximate point location of one or more fitting room where a person may try on clothes or change clothes.
amenity,,amenity,foodservice,Models the presence and approximate point location of a foodservice operation where a pedestrian can enjoy food and drink. The foodservice is offered by a foodservice company.
amenity,,amenity,gatearea,Models the presence and approximate extent of an open or semi-enclosed environment containing a collection of thematically related gate holding areas.
amenity,,amenity,groundtransportation,Models the presence and approximate point location of an area where a general set of ground transportation services exist.
amenity,,amenity,guestservices,Models the presence and approximate point location of a guest service operation.
amenity,,amenity,handsanitizerstation,Models the presence and approximate point location of a hand sanitizer dispensing station.
amenity,,amenity,healthscreening,Models the presence and approximate point location of personnel/equipment that supports a health screening operation.
amenity,,amenity,hoteling,Models the presence and approximate point location of: * A reservation-based unassigned work surface.
amenity,,amenity,immigration,"Models the presence and approximate point location of an immigration operation. (Also known as ""Passport Control."")"
amenity,,amenity,information,Models the presence and approximate thematic extent of an open or semi-enclosed environment whose intended purpose is the offering of information.
amenity,,amenity,information.bid,Models the presence and approximate point location of a Baggage Information Display (BID) system that displays baggage claim information.
amenity,,amenity,information.carrental,"Models the presence and approximate point location of a manned desk or an automated information kiosk that: May exist in support of a particular brand name or is brand agnostic. Is not concerned with delivering other information types (e.g., tourism, hotel or airline information)."
amenity,,amenity,information.hotel,
amenity,,amenity,information.mufid,"Models the presence and approximate point location of a Multiple User Flight Information Display system that displays flight information to passengers and patrons by destination city, airline, arrival and departure times, gate, and status of the flight (on-time, delayed, cancelled, boarding, or landed)."
amenity,,amenity,information.mufid.arrivals,"Models the presence and approximate point location of a Multiple User Flight Information Display system that displays flight information to passengers and patrons by arrival city, airline, arrival times, gate, and status of the flight (on-time, delayed, cancelled, boarding, or landed)."
amenity,,amenity,information.mufid.departures,"Models the presence and approximate point location of a Multiple User Flight Information Display system that displays flight information to passengers and patrons by departure city, airline, arrival times, gate, and status of the flight (on-time, delayed, cancelled, or boarding)."
amenity,,amenity,information.transit,"Models the presence and approximate point location of a manned desk or an automated information kiosk that: May exist in support of a particular brand name or is brand agnostic. Is not concerned with delivering other information types (e.g., tourism information, hotel.)."
amenity,,amenity,landmark,Items in this category are spaces and places of significance and history.
amenity,,amenity,landmark,Models the presence and approximate point location of a recognizable or substantial natural or artificial feature that is useful for pedestrian navigation or orientation.
amenity,,amenity,library,"A building or room where media is collected for people to read, borrow, and reference. Traditionally this is mostly books, but may also include other media too."
amenity,,amenity,library,Models the presence and physical extent of an enclosed area containing sources of information.
amenity,,amenity,limo,A company that provides transportation services by limousines.
amenity,,amenity,limo,Models the presence and approximate point location of a limousine service.
amenity,,amenity,lostandfound,Models the presence and approximate point location of a service where a pedestrian may retrieve personal belongings.
amenity,,amenity,mailbox,A physical box into which members of the public can deposit outgoing mail intended for collection by the agents of a country's postal service.
amenity,,amenity,meditation,Facilities dedicated to the practice of meditation. 
amenity,,amenity,meetingpoint,Models the presence and approximate point location of a defined place where people can meet.
amenity,,amenity,mobilityrescue,Models the presence and approximate point location of an assembly area where persons that experience disabilities may be assisted during an emergency event.
amenity,,amenity,mothersroom,Models the presence and approximate point or physical extent of an enclosed space where a woman may breastfeed or use a breast pump in private.
amenity,,amenity,movingwalkway,Models the presence and approximate point location or physical extent of one or more neighboring moving conveyor mechanism that transports pedestrians across a horizontal or inclined plane over a short to medium distance.
amenity,,amenity,paidarea,Models the extent of a geofence whose area encompasses a physical environment that is describable by the Venue Organization as a paid area.
amenity,,amenity,parkandride,Models the presence and approximate point location or approximate thematic extent of an open or semi-enclosed environment whose intended purpose is to host a Park & Ride service.
amenity,,amenity,parking,"Locations that provide office space to park vehicles, usually for a fee."
amenity,,amenity,parking,Models the presence and physical extent of a floor whose intended purpose is the storage of vehicles.
amenity,,amenity,parking.bicycle,"A business that offers parking spaces/services for bicycles only OR a large space specifically made for parking bicycles only, with or without a fee and may or may not have onsite pesonnel. OK to use for businesses that provide bike valet services as a core offering. Please note this should only be used for locations/businesses whose core competency is bike parking. Businesses that have bike racks at/outside of their space should not be categorized under Bike Parking (they should use the Bike Parking attribute, instead). Random bike racks located on public streets/areas are ineligible for a listing. "
amenity,,amenity,parking.bicycle,Models the presence and approximate point location or approximate thematic extent of an open or semi-enclosed environment whose intended purpose is the storage of bicycles.
amenity,,amenity,parking.compact,"Models the presence and approximate point location or approximate thematic extent of an open or semi-enclosed environment whose intended purpose is the storage of vehicles defined in the automotive industry as being ""compact."""
amenity,,amenity,parking.ev,Models the presence and approximate point location or approximate thematic extent of an open or semi-enclosed environment whose intended purpose is the storage of electric vehicles.
amenity,,amenity,parking.longterm,Models the presence and approximate point location or approximate thematic extent of an open or semi-enclosed environment  whose intended purpose is the storage of vehicles for an extended period of time.
amenity,,amenity,parking.motorcycle,Models the presence and approximate point location or approximate thematic extent of an open or semi-enclosed of an environment whose intended purpose is the storage of motorcycles.
amenity,,amenity,parking.shortterm,Models the presence and approximate point location or approximate thematic extent of an open or semi-enclosed environment whose intended purpose is the storage of vehicles for a short period of time.
amenity,,amenity,parking.waitingarea,Models the presence and approximate point location or approximate thematic extent of an open or semi-enclosed environment whose intended purpose is use by a person (and their vehicle) to wait for the arrival of another person(s).
amenity,,amenity,payphone,
amenity,,amenity,pedestriancrossing,Models the presence and approximate point location of a pedestrian crossing.
amenity,,amenity,peoplemover,Models the presence and approximate point location of a transit stop that is associated with a transportation system describable as an Automated People Mover.
amenity,,amenity,phone,"Models the presence and approximate point location of a telephone or a ""bank"" of telephones."
amenity,,amenity,phone.emergency,Models the presence and approximate point location of an emergency telephone service.
amenity,,amenity,photobooth,
amenity,,amenity,platform,Models the presence and approximate point location of an individually named (or numbered) train platform. 
amenity,,amenity,platform,"Models the presence and approximate thematic extent of an open or semi-enclosed area of a railway platform that is distinct from another area of the same physical railway platform, or the extent of a geofence whose area encompasses a physical environment that is describable by the Venue Organization as a platform."
amenity,,amenity,police,"Models the presence and approximate point location of a police sub-station, office or desk that is permanently staffed by police."
amenity,,amenity,powerchargingstation,
amenity,,amenity,prayerroom,Models the presence and approximate point location of a place for religious prayer or meditation. Inter-faith (non-denominational) is assumed.
amenity,,amenity,prayerroom.buddhism,
amenity,,amenity,prayerroom.christianity,
amenity,,amenity,prayerroom.hinduism,
amenity,,amenity,prayerroom.islam,
amenity,,amenity,prayerroom.islam.female,
amenity,,amenity,prayerroom.islam.male,
amenity,,amenity,prayerroom.judaism,
amenity,,amenity,prayerroom.shintoism,
amenity,,amenity,prayerroom.sikh,
amenity,,amenity,prayerroom.taoic,
amenity,,amenity,privatelounge,Models the presence and physical extent of an enclosed space that is made available to authorized pedestrians.
amenity,,amenity,productreturn,Models the presence and approximate point location of a product return service operation.
amenity,,amenity,rail.muni,Models the presence and approximate point location of one or more rail stop that is serviced by a local transit authority.
amenity,,amenity,rail.national,Models the presence and approximate point location of one or more rail stop that is serviced by a national transit authority.
amenity,,amenity,ramp,Models the presence and approximate point location or physical extent of an incline plane.
amenity,,amenity,reception.desk,Models the presence and approximate point location of a reception desk.
amenity,,amenity,recreation,Business or location related to recreational activities.
amenity,,amenity,recreation,Models the presence and approximate point location of a break room or recreational space.
amenity,,amenity,restroom,"Models the presence and approximate point location of one or more neighboring spaces, or the physical extent of a single enclosed space, containing bathroom facilities."
amenity,,amenity,restroom.family,A bathroom intended for family use
amenity,,amenity,restroom.family,"Models the presence and approximate point location of one or more neighboring spaces, or the physical extent of a single space, containing bathroom facilities that are intended for use by a family."
amenity,,amenity,restroom.female,A bathroom intended for female use
amenity,,amenity,restroom.female,"Models the presence and approximate point location of one or more neighboring spaces, or the physical extent of a single space, containing bathroom facilities that are intended for use by a female."
amenity,,amenity,restroom.female.wheelchair,Models the presence and approximate point location of a female bathroom facility that is entirely dedicated to persons with a disability.
amenity,,amenity,restroom.male,A bathroom intended for male use
amenity,,amenity,restroom.male,"Models the presence and approximate point location of one or more neighboring spaces, or the physical extent of a single space, containing bathroom facilities that are intended for use by a male."
amenity,,amenity,restroom.male.wheelchair,Models the presence and approximate point location of a male bathroom facility that is entirely dedicated to persons with a disability.
amenity,,amenity,restroom.transgender,"Models the presence and approximate point location of one or more neighboring spaces, or the physical extent of a single space, containing bathroom facilities that are intended for use by a person that identifies themselves as transgender."
amenity,,amenity,restroom.transgender.wheelchair,Models the presence and approximate point location of a transgender bathroom facility that is entirely dedicated to persons with a disability.
amenity,,amenity,restroom.unisex,"Models the presence and approximate point location of one or more neighboring spaces, or the physical extent of a single space, containing bathroom facilities that are intended for use by any person."
amenity,,amenity,restroom.unisex,"Restroom designed to be used by any person, regardless of gender."
amenity,,amenity,restroom.unisex.wheelchair,Models the presence and approximate point location of a unisex bathroom facility that is entirely dedicated to persons with a disability.
amenity,,amenity,restroom.wheelchair,Dedicated restroom designed to be accessible for those with physical disabilities.
amenity,,amenity,restroom.wheelchair,Models the presence and approximate point location of a bathroom facility that is entirely dedicated to persons with a disability.
amenity,,amenity,rideshare,Business or service that facilitates ride sharing or carpooling allowing multiple riders to share a car trip.
amenity,,amenity,rideshare,Models the presence and approximate point location of a ride-share pick-up spot or zone.
amenity,,amenity,seat,Models the presence and approximate point location of a seat.
amenity,,amenity,seating,models the presence and location of an open or semi-enclosed seating environment.
amenity,,amenity,security,A business or organization who can be hired for private security 
amenity,,amenity,security,"Models the presence and approximate point location of an area, or approximate thematic extent of an open or semi-enclosed area, containing a security operation."
amenity,,amenity,security.checkpoint,Models the presence and approximate point location of personnel/equipment that supports a security operation.
amenity,,amenity,security.inspection,Models the presence and approximate point location of an inspection operation. Customs Inspection (International Travel) National/Federal Inspection (Domestic Travel)
amenity,,amenity,service,"Should be used to model the presence and approximate point location, or approximate thematic extent of an open or semi-enclosed area, of an service operation that cannot be classified using any other ""service"" category in the hierarchy."
amenity,,amenity,shower,"Models the presence and approximate point location of one or more neighboring shower facility and adjoining locker/changing area, or the physical extent of an enclosed space that provides shower facilities and adjoining locker/changing area."
amenity,,amenity,shuttle,"Models the presence and approximate point location of one or more bus stop that is serviced by a private enterprise, not a national or local transit authority."
amenity,,amenity,sleepbox,Models the presence and approximate point location of one or more service that offers a bed and an associated set of facilities in a limited space.
amenity,,amenity,smokingarea,"Models the presence and approximate point location, or physical extent of a space containing a smoking area or facility."
amenity,,amenity,stairs,"Models the presence and approximate point location of one or more neighboring staircase, or the physical extent of a single staircase, that supports vertical traversal to a physically different floor that may or may not be eligible for capture as a Level."
amenity,,amenity,storage,Models the presence and approximate point location of a storage facility.
amenity,,amenity,strollerrental,Models the presence and approximate point location of a stroller rental service.
amenity,,amenity,studentadmissions,Models the presence and approximate point location of a student admissions operation.
amenity,,amenity,studentservices,Models the presence and approximate point location of a student services operation.
amenity,,amenity,swimmingpool,Facilities where one can swim in a swimming pool.
amenity,,amenity,swimmingpool,Models the presence and approximate point location of a water feature that is intended for use by people.
amenity,,amenity,swimmingpool.children,
amenity,,amenity,swimmingpool.family,
amenity,,amenity,taxi,A vehicle providing individualized transportation a location specified by the customer.
amenity,,amenity,taxi,Models the presence and approximate point location of a taxi waiting area or line-up.
amenity,,amenity,ticketing,"Models the presence and approximate point location of an automated or manned ticketing operation, or the approximate thematic extent of an area containing ticketing operations and services."
amenity,,amenity,ticketing.airline,Models the presence and approximate point location of a manned airline ticketing operation.
amenity,,amenity,ticketing.bus,
amenity,,amenity,ticketing.bus.muni,Models the presence and approximate point location of an automated or manned bus ticketing operation that is provided by a local transit authority.
amenity,,amenity,ticketing.bus.national,Models the presence and approximate point location of an automated or manned bus ticketing operation that is provided by a national transit authority.
amenity,,amenity,ticketing.rail,
amenity,,amenity,ticketing.rail.muni,Models the presence and approximate point location of an automated or manned rail ticketing operation that is provided by a national transit authority.
amenity,,amenity,ticketing.rail.national,Models the presence and approximate point location of an automated or manned rail ticketing operation that is provided by a national transit authority.
amenity,,amenity,ticketing.shuttle,"Models the presence and approximate point location of an automated or manned private ticketing operation that is provided by a private enterprise, not a national or local transit authority."
amenity,,amenity,traintrack,Models the presence and approximate point location of an individually named (or numbered) train track or physical portion of a train platform. 
amenity,,amenity,transit,Describes a physical structure whose sole operational purpose is to provide transportation services.
amenity,,amenity,transit,"Models the presence and physical extent of a floor of a physical building whose intended purpose is to support the movement of pedestrians: Within or among different parts of the same Venue (inter-venue transit). Within, among and beyond the Venue."
amenity,,amenity,unspecified,"Models the presence and approximate point location of a physical object or service that cannot be classified using any other category, or whose utilization is unknown."
amenity,,amenity,valet,Models the presence and approximate point location of a valet parking service.
amenity,,amenity,vendingmachine,Automated machine that provides items using a payment system. Please use shopping.vendingmachine.refreshments for food related machines.
amenity,,amenity,vendingmachine,"Models the presence and approximate point location of an automated system that vends products/services that include, but are not limited to, electronics, cosmetics, food and beverage."
amenity,,amenity,vendingmachine.trainticket,Models the presence and approximate point location of an automated system that vends train tickets.
amenity,,amenity,wheelchairassist,Models the presence and approximate point location of a wheelchair assistance service.
amenity,,amenity,wifi,"Models the presence and approximate point location of a designated zone/area/""hot spot"" where Wi-Fi service is available."
amenity,,amenity,yoga,Facilities providing space and instruction for the practice of yoga. Do not use for businesses not offering yoga as their core instruction (e.g. a gym offering yoga once a week should not receive this category).
amenity/airport,airport,amenity,animalreliefarea,"A convenience area for service animal relief, often be equipped with water bowls and animal toiletries"
amenity/airport,airport,amenity,animalreliefarea,Models the presence and approximate point location of a Service Animal Relief Area (SARA) or domestic pet relief area.
amenity/airport,airport,amenity,babychanging,"Location for the specific purpose of changing a baby, does not contain bathroom facilities."
amenity/airport,airport,amenity,baggagecarousel,Models the presence and approximate point location of an individual Baggage Carousel.
amenity/airport,airport,amenity,baggagecarts,Models the presence and approximate point location of a baggage/luggage trolley system.
amenity/airport,airport,amenity,baggageclaim,Models the presence and approximate thematic extent of an open or semi-enclosed environment containing a baggage claim operation.
amenity/airport,airport,amenity,boardinggate.aircraft,Models the presence and approximate point location of an aircraft boarding gate operation.
amenity/airport,airport,amenity,checkin.desk,Models the presence and approximate point location or physical extent of furniture that supports one or more check-in desk operations.
amenity/airport,airport,amenity,checkin.desk.oversizebaggage,"Models the presence and approximate point location of a check-in area, desk, or service where special or oversized baggage may be checked in."
amenity/airport,airport,amenity,checkin.desk.transfer,Models the presence and approximate point location of a manned transfer desk operation whose purpose is to facilitate a traveler's transfer to another outbound connection.
amenity/airport,airport,amenity,checkin.selfservice,Models the presence and approximate point location of furniture/equipment that supports full or semi-automated check-in operations.
amenity/airport,airport,amenity,defibrillator,Models the presence and approximate point location of an Automated External Defibrillator (AED). 
amenity/airport,airport,amenity,drinkingfountain,Models the presence and approximate point location of drinking water.
amenity/airport,airport,amenity,eatingdrinking,"Models the presence and approximate thematic extent of an open or semi-enclosed environment that is used as a ""common"" area for dining."
amenity/airport,airport,amenity,elevator,Models the presence and approximate point location of one or more elevator that offers vertical traversal capabilities.
amenity/airport,airport,amenity,escalator,Models the presence and physical extent of a single escalator that offers vertical traversal capabilities.
amenity/airport,airport,amenity,firstaid,"Models the presence and approximate point location of: A medical support operation or First Aid, or the physical extent of a space containing a medical support operation.."
amenity/airport,airport,amenity,gatearea,Models the presence and approximate extent of an open or semi-enclosed environment containing a collection of thematically related gate holding areas.
amenity/airport,airport,amenity,immigration,"Models the presence and approximate point location of an immigration operation. (Also known as ""Passport Control."")"
amenity/airport,airport,amenity,information,Models the presence and approximate thematic extent of an open or semi-enclosed environment whose intended purpose is the offering of information.
amenity/airport,airport,amenity,lostandfound,Models the presence and approximate point location of a service where a pedestrian may retrieve personal belongings.
amenity/airport,airport,amenity,mothersroom,Models the presence and approximate point or physical extent of an enclosed space where a woman may breastfeed or use a breast pump in private.
amenity/airport,airport,amenity,movingwalkway,Models the presence and approximate point location or physical extent of one or more neighboring moving conveyor mechanism that transports pedestrians across a horizontal or inclined plane over a short to medium distance.
amenity/airport,airport,amenity,parking,"Locations that provide office space to park vehicles, usually for a fee."
amenity/airport,airport,amenity,parking,Models the presence and physical extent of a floor whose intended purpose is the storage of vehicles.
amenity/airport,airport,amenity,peoplemover,Models the presence and approximate point location of a transit stop that is associated with a transportation system describable as an Automated People Mover.
amenity/airport,airport,amenity,platform,Models the presence and approximate point location of an individually named (or numbered) train platform. 
amenity/airport,airport,amenity,platform,"Models the presence and approximate thematic extent of an open or semi-enclosed area of a railway platform that is distinct from another area of the same physical railway platform, or the extent of a geofence whose area encompasses a physical environment that is describable by the Venue Organization as a platform."
amenity/airport,airport,amenity,restroom,"Models the presence and approximate point location of one or more neighboring spaces, or the physical extent of a single enclosed space, containing bathroom facilities."
amenity/airport,airport,amenity,restroom.family,A bathroom intended for family use
amenity/airport,airport,amenity,restroom.family,"Models the presence and approximate point location of one or more neighboring spaces, or the physical extent of a single space, containing bathroom facilities that are intended for use by a family."
amenity/airport,airport,amenity,restroom.female,A bathroom intended for female use
amenity/airport,airport,amenity,restroom.female,"Models the presence and approximate point location of one or more neighboring spaces, or the physical extent of a single space, containing bathroom facilities that are intended for use by a female."
amenity/airport,airport,amenity,restroom.female.wheelchair,Models the presence and approximate point location of a female bathroom facility that is entirely dedicated to persons with a disability.
amenity/airport,airport,amenity,restroom.male,A bathroom intended for male use
amenity/airport,airport,amenity,restroom.male,"Models the presence and approximate point location of one or more neighboring spaces, or the physical extent of a single space, containing bathroom facilities that are intended for use by a male."
amenity/airport,airport,amenity,restroom.male.wheelchair,Models the presence and approximate point location of a male bathroom facility that is entirely dedicated to persons with a disability.
amenity/airport,airport,amenity,restroom.unisex,"Models the presence and approximate point location of one or more neighboring spaces, or the physical extent of a single space, containing bathroom facilities that are intended for use by any person."
amenity/airport,airport,amenity,restroom.unisex,"Restroom designed to be used by any person, regardless of gender."
amenity/airport,airport,amenity,restroom.wheelchair,Dedicated restroom designed to be accessible for those with physical disabilities.
amenity/airport,airport,amenity,restroom.wheelchair,Models the presence and approximate point location of a bathroom facility that is entirely dedicated to persons with a disability.
amenity/airport,airport,amenity,rideshare,Business or service that facilitates ride sharing or carpooling allowing multiple riders to share a car trip.
amenity/airport,airport,amenity,rideshare,Models the presence and approximate point location of a ride-share pick-up spot or zone.
amenity/airport,airport,amenity,seating,models the presence and location of an open or semi-enclosed seating environment.
amenity/airport,airport,amenity,security.checkpoint,Models the presence and approximate point location of personnel/equipment that supports a security operation.
amenity/airport,airport,amenity,security.inspection,Models the presence and approximate point location of an inspection operation. Customs Inspection (International Travel) National/Federal Inspection (Domestic Travel)
amenity/airport,airport,amenity,shuttle,"Models the presence and approximate point location of one or more bus stop that is serviced by a private enterprise, not a national or local transit authority."
amenity/airport,airport,amenity,smokingarea,"Models the presence and approximate point location, or physical extent of a space containing a smoking area or facility."
amenity/airport,airport,amenity,stairs,"Models the presence and approximate point location of one or more neighboring staircase, or the physical extent of a single staircase, that supports vertical traversal to a physically different floor that may or may not be eligible for capture as a Level."
amenity/airport,airport,amenity,taxi,A vehicle providing individualized transportation a location specified by the customer.
amenity/airport,airport,amenity,taxi,Models the presence and approximate point location of a taxi waiting area or line-up.
amenity/airport,airport,amenity,ticketing.airline,Models the presence and approximate point location of a manned airline ticketing operation.
amenity/airport,airport,amenity,ticketing.rail,
amenity/airport,airport,amenity,vendingmachine.trainticket,Models the presence and approximate point location of an automated system that vends train tickets.
amenity/airport,airport,amenity,wheelchairassist,Models the presence and approximate point location of a wheelchair assistance service.
amenity/airport,airport.intl,amenity,animalreliefarea,"A convenience area for service animal relief, often be equipped with water bowls and animal toiletries"
amenity/airport,airport.intl,amenity,animalreliefarea,Models the presence and approximate point location of a Service Animal Relief Area (SARA) or domestic pet relief area.
amenity/airport,airport.intl,amenity,babychanging,"Location for the specific purpose of changing a baby, does not contain bathroom facilities."
amenity/airport,airport.intl,amenity,baggagecarousel,Models the presence and approximate point location of an individual Baggage Carousel.
amenity/airport,airport.intl,amenity,baggagecarts,Models the presence and approximate point location of a baggage/luggage trolley system.
amenity/airport,airport.intl,amenity,baggageclaim,Models the presence and approximate thematic extent of an open or semi-enclosed environment containing a baggage claim operation.
amenity/airport,airport.intl,amenity,boardinggate.aircraft,Models the presence and approximate point location of an aircraft boarding gate operation.
amenity/airport,airport.intl,amenity,checkin.desk,Models the presence and approximate point location or physical extent of furniture that supports one or more check-in desk operations.
